,0,1,2,3,4
0,NUI_PT,NAME,time,state,county
1,3671,"Adams County, IN",2016,18,001
2,29398,"Allen County, IN",2016,18,003
3,6720,"Bartholomew County, IN",2016,18,005
4,834,"Benton County, IN",2016,18,007
5,947,"Blackford County, IN",2016,18,009
6,3587,"Boone County, IN",2016,18,011
7,1220,"Brown County, IN",2016,18,013
8,1618,"Carroll County, IN",2016,18,015
9,3678,"Cass County, IN",2016,18,017
10,8332,"Clark County, IN",2016,18,019
11,2019,"Clay County, IN",2016,18,021
12,2862,"Clinton County, IN",2016,18,023
13,908,"Crawford County, IN",2016,18,025
14,4865,"Daviess County, IN",2016,18,027
15,3214,"Dearborn County, IN",2016,18,029
16,1913,"Decatur County, IN",2016,18,031
17,3185,"De Kalb County, IN",2016,18,033
18,8520,"Delaware County, IN",2016,18,035
19,3038,"Dubois County, IN",2016,18,037
20,25222,"Elkhart County, IN",2016,18,039
21,1857,"Fayette County, IN",2016,18,041
22,4683,"Floyd County, IN",2016,18,043
23,1231,"Fountain County, IN",2016,18,045
24,1707,"Franklin County, IN",2016,18,047
25,1963,"Fulton County, IN",2016,18,049
26,1945,"Gibson County, IN",2016,18,051
27,4879,"Grant County, IN",2016,18,053
28,2540,"Greene County, IN",2016,18,055
29,14924,"Hamilton County, IN",2016,18,057
30,4261,"Hancock County, IN",2016,18,059
31,2976,"Harrison County, IN",2016,18,061
32,9146,"Hendricks County, IN",2016,18,063
33,3111,"Henry County, IN",2016,18,065
34,5775,"Howard County, IN",2016,18,067
35,2612,"Huntington County, IN",2016,18,069
36,3687,"Jackson County, IN",2016,18,071
37,2435,"Jasper County, IN",2016,18,073
38,1691,"Jay County, IN",2016,18,075
39,2371,"Jefferson County, IN",2016,18,077
40,2186,"Jennings County, IN",2016,18,079
41,10013,"Johnson County, IN",2016,18,081
42,2635,"Knox County, IN",2016,18,083
43,7497,"Kosciusko County, IN",2016,18,085
44,7422,"Lagrange County, IN",2016,18,087
45,34921,"Lake County, IN",2016,18,089
46,8090,"La Porte County, IN",2016,18,091
47,3227,"Lawrence County, IN",2016,18,093
48,9612,"Madison County, IN",2016,18,095
49,86091,"Marion County, IN",2016,18,097
50,5224,"Marshall County, IN",2016,18,099
51,768,"Martin County, IN",2016,18,101
52,2502,"Miami County, IN",2016,18,103
53,10522,"Monroe County, IN",2016,18,105
54,3257,"Montgomery County, IN",2016,18,107
55,5097,"Morgan County, IN",2016,18,109
56,1320,"Newton County, IN",2016,18,111
57,4264,"Noble County, IN",2016,18,113
58,371,"Ohio County, IN",2016,18,115
59,1596,"Orange County, IN",2016,18,117
60,1851,"Owen County, IN",2016,18,119
61,1532,"Parke County, IN",2016,18,121
62,1210,"Perry County, IN",2016,18,123
63,886,"Pike County, IN",2016,18,125
64,10151,"Porter County, IN",2016,18,127
65,1479,"Posey County, IN",2016,18,129
66,1018,"Pulaski County, IN",2016,18,131
67,2197,"Putnam County, IN",2016,18,133
68,1914,"Randolph County, IN",2016,18,135
69,2086,"Ripley County, IN",2016,18,137
70,1568,"Rush County, IN",2016,18,139
71,22735,"St. Joseph County, IN",2016,18,141
72,1794,"Scott County, IN",2016,18,143
73,3427,"Shelby County, IN",2016,18,145
74,1378,"Spencer County, IN",2016,18,147
75,1951,"Starke County, IN",2016,18,149
76,2403,"Steuben County, IN",2016,18,151
77,1398,"Sullivan County, IN",2016,18,153
78,961,"Switzerland County, IN",2016,18,155
79,16330,"Tippecanoe County, IN",2016,18,157
80,972,"Tipton County, IN",2016,18,159
81,548,"Union County, IN",2016,18,161
82,12807,"Vanderburgh County, IN",2016,18,163
83,1104,"Vermillion County, IN",2016,18,165
84,7731,"Vigo County, IN",2016,18,167
85,2367,"Wabash County, IN",2016,18,169
86,523,"Warren County, IN",2016,18,171
87,3572,"Warrick County, IN",2016,18,173
88,2336,"Washington County, IN",2016,18,175
89,5813,"Wayne County, IN",2016,18,177
90,1780,"Wells County, IN",2016,18,179
91,2204,"White County, IN",2016,18,181
92,2249,"Whitley County, IN",2016,18,183
